"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "XML", "JSON with Comments", "Database", "comment", "blank", "total"
"d:\servidores\xampp\htdocs\SEA\app\Models\GaleriaIngreso.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\servidores\xampp\htdocs\SEA\app\Models\GaleriaVivienda.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\servidores\xampp\htdocs\SEA\app\Models\Habitante.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\servidores\xampp\htdocs\SEA\app\Models\Ingreso.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"d:\servidores\xampp\htdocs\SEA\app\Models\Perfil.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\servidores\xampp\htdocs\SEA\app\Models\TipoDocumento.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\servidores\xampp\htdocs\SEA\app\Models\TipoVisita.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\servidores\xampp\htdocs\SEA\app\Models\TipoVivienda.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\servidores\xampp\htdocs\SEA\app\Models\User.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 69
"d:\servidores\xampp\htdocs\SEA\app\Models\Vehiculo.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\servidores\xampp\htdocs\SEA\app\Models\Visitante.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\servidores\xampp\htdocs\SEA\app\Models\Vivienda.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\servidores\xampp\htdocs\SEA\app\Providers\AppServiceProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 28
"d:\servidores\xampp\htdocs\SEA\app\Providers\FortifyServiceProvider.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 47
